"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","306,704","±1,940","19,218","±355","3,547","±256","81,456","±1,087"
"    Housing units with a mortgage:","229,706","±1,832","11,428","±357","2,355","±235","62,979","±987"
"        Less than 10.0 percent","13,832","±665","678","±109","151","±73","3,360","±386"
"        10.0 to 14.9 percent","30,357","±970","1,761","±197","470","±138","7,682","±486"
"        15.0 to 19.9 percent","43,947","±1,175","2,296","±224","601","±171","11,515","±531"
"        20.0 to 24.9 percent","41,025","±1,520","1,698","±159","347","±113","11,120","±618"
"        25.0 to 29.9 percent","28,396","±953","1,249","±124","225","±89","7,640","±579"
"        30.0 to 34.9 percent","18,883","±734","995","±135","139","±93","5,273","±375"
"        35.0 to 39.9 percent","11,596","±766","662","±94","103","±60","3,567","±385"
"        40.0 to 49.9 percent","14,938","±788","812","±103","136","±67","4,492","±409"
"        50.0 percent or more","26,067","±921","1,247","±126","183","±83","8,072","±433"
"        Not computed","665","±172","30","±19","0","±14","258","±93"
"    Housing units without a mortgage:","76,998","±1,308","7,790","±220","1,192","±187","18,477","±668"
"        Less than 10.0 percent","31,241","±897","3,388","±187","575","±137","6,274","±421"
"        10.0 to 14.9 percent","14,616","±669","1,639","±130","270","±85","3,656","±341"
"        15.0 to 19.9 percent","9,076","±553","896","±117","131","±60","2,201","±267"
"        20.0 to 24.9 percent","5,859","±414","549","±85","90","±53","1,541","±193"
"        25.0 to 29.9 percent","4,195","±362","326","±52","26","±30","1,080","±167"
"        30.0 to 34.9 percent","2,585","±275","280","±66","55","±46","771","±165"
"        35.0 to 39.9 percent","1,880","±241","121","±29","0","±14","481","±113"
"        40.0 to 49.9 percent","2,411","±317","201","±47","45","±40","888","±170"
"        50.0 percent or more","4,434","±383","322","±38","0","±14","1,356","±197"
"        Not computed","701","±163","68","±24","0","±14","229","±94"